Date,Open,High,Low,Close,Adj Close,Volume
2020-08-14,7.194000,7.299000,7.153000,7.295000,7.295000,237864703
2020-08-17,7.293000,7.412000,7.261000,7.399000,7.399000,231784333
2020-08-18,7.396000,7.483000,7.395000,7.452000,7.452000,175601741
2020-08-19,7.451000,7.452000,7.321000,7.326000,7.326000,144387054
2020-08-20,7.331000,7.335000,7.230000,7.254000,7.254000,157090254
2020-08-21,7.265000,7.354000,7.241000,7.297000,7.297000,142654200
2020-08-24,7.320000,7.355000,7.233000,7.336000,7.336000,148708000
2020-08-25,7.350000,7.403000,7.282000,7.299000,7.299000,136988050
2020-08-26,7.291000,7.316000,7.141000,7.176000,7.176000,199363500
2020-08-27,7.176000,7.244000,7.137000,7.240000,7.240000,164500889
2020-08-28,7.228000,7.372000,7.192000,7.363000,7.363000,276657892
2020-08-31,7.387000,7.440000,7.323000,7.326000,7.326000,233102129
2020-09-01,7.310000,7.380000,7.301000,7.378000,7.378000,146722814
2020-09-02,7.389000,7.405000,7.295000,7.373000,7.373000,296361358
2020-09-03,7.369000,7.403000,7.308000,7.333000,7.333000,138537536
2020-09-04,7.252000,7.299000,7.207000,7.283000,7.283000,182195378
2020-09-07,7.264000,7.339000,7.101000,7.131000,7.131000,212880331
2020-09-08,7.139000,7.204000,7.085000,7.176000,7.176000,166566703
2020-09-09,7.103000,7.125000,6.951000,6.997000,6.997000,218144664
2020-09-10,7.033000,7.052000,6.842000,6.877000,6.877000,277807225
2020-09-11,6.837000,6.950000,6.829000,6.935000,6.935000,225017650
2020-09-14,6.977000,7.007000,6.920000,6.988000,6.988000,237733600
2020-09-15,6.972000,7.030000,6.957000,7.016000,7.016000,139830700
2020-09-16,7.017000,7.017000,6.960000,6.994000,6.994000,126420200
2020-09-17,6.970000,7.064000,6.927000,7.009000,7.009000,186641100
2020-09-18,7.004000,7.139000,6.990000,7.136000,7.136000,204693300
2020-09-21,7.130000,7.162000,7.073000,7.085000,7.085000,275273900
2020-09-22,7.045000,7.121000,6.967000,6.997000,6.997000,187729200
2020-09-23,7.001000,7.052000,6.990000,7.031000,7.031000,123994982
2020-09-24,6.985000,6.995000,6.868000,6.895000,6.895000,262511363
2020-09-25,6.896000,6.924000,6.838000,6.874000,6.874000,179343023
2020-09-28,6.890000,6.900000,6.793000,6.810000,6.810000,163228352
2020-09-29,6.830000,6.922000,6.814000,6.860000,6.860000,228557372
2020-09-30,6.865000,6.901000,6.764000,6.813000,6.813000,231523438
2020-10-09,6.918000,7.020000,6.918000,6.990000,6.990000,194360600
2020-10-12,7.040000,7.208000,7.038000,7.204000,7.204000,172304955
2020-10-13,7.185000,7.216000,7.132000,7.206000,7.206000,195127200
2020-10-14,7.196000,7.200000,7.156000,7.174000,7.174000,143307030
2020-10-15,7.164000,7.190000,7.117000,7.120000,7.120000,152188557
2020-10-16,7.131000,7.138000,7.028000,7.081000,7.081000,149833963
2020-10-19,7.120000,7.148000,6.985000,7.012000,7.012000,298790681
2020-10-20,6.996000,7.077000,6.968000,7.070000,7.070000,145243730
2020-10-21,7.060000,7.078000,6.963000,7.012000,7.012000,166724193
2020-10-22,6.990000,6.999000,6.901000,6.968000,6.968000,157866672
2020-10-23,6.952000,7.019000,6.841000,6.854000,6.854000,184918927
2020-10-26,6.848000,6.881000,6.752000,6.848000,6.848000,187374910
2020-10-27,6.814000,6.862000,6.803000,6.846000,6.846000,116466578
